,Id,LotArea,FullBath,BedroomAbvGr,SalePrice
0,1,8450,2,3,208500
1,2,9600,2,3,181500
2,3,11250,2,3,223500
3,4,9550,1,3,140000
4,5,14260,2,4,250000
5,6,14115,1,1,143000
6,7,10084,2,3,307000
7,8,10382,2,3,200000
8,9,6120,2,2,129900
9,10,7420,1,2,118000
10,11,11200,1,3,129500
11,12,11924,3,4,345000
12,13,12968,1,2,144000
13,14,10652,2,3,279500
14,15,10920,1,2,157000
15,16,6120,1,2,132000
16,17,11241,1,2,149000
17,18,10791,2,2,90000
18,19,13695,1,3,159000
19,20,7560,1,3,139000
20,21,14215,3,4,325300
21,22,7449,1,3,139400
22,23,9742,2,3,230000
23,24,4224,1,3,129900
24,25,8246,1,3,154000
25,26,14230,2,3,256300
26,27,7200,1,3,134800
27,28,11478,2,3,306000
28,29,16321,1,2,207500
29,30,6324,1,1,68500
30,31,8500,1,3,40000
31,32,8544,1,3,149350
32,33,11049,2,3,179900
33,34,10552,1,4,165500
34,35,7313,2,2,277500
35,36,13418,3,4,309000
36,37,10859,1,3,145000
37,38,8532,1,3,153000
38,39,7922,1,3,109000
39,40,6040,2,2,82000
40,41,8658,2,3,160000
41,42,16905,1,2,170000
42,43,9180,1,2,144000
43,44,9200,1,3,130250
44,45,7945,1,3,141000
45,46,7658,2,2,319900
46,47,12822,1,1,239686
47,48,11096,2,3,249700
48,49,4456,2,2,113000
49,50,7742,1,3,127000
50,51,13869,2,3,177000
51,52,6240,1,3,114500
52,53,8472,1,2,110000
53,54,50271,0,0,385000
54,55,7134,1,3,130000
55,56,10175,2,3,180500
56,57,2645,2,3,172500
57,58,11645,2,3,196500
58,59,13682,3,3,438780
59,60,7200,1,2,124900
60,61,13072,1,3,158000
61,62,7200,1,3,101000
62,63,6442,2,2,202500
63,64,10300,2,3,140000
64,65,9375,2,3,219500
65,66,9591,2,4,317000
66,67,19900,2,3,180000
67,68,10665,2,3,226000
68,69,4608,1,2,80000
69,70,15593,2,3,225000
70,71,13651,2,3,244000
71,72,7599,1,2,129500
72,73,10141,2,3,185000
73,74,10200,1,3,144900
74,75,5790,2,3,107400
75,76,1596,1,2,91000
76,77,8475,1,2,135750
77,78,8635,1,2,127000
78,79,10778,2,4,136500
79,80,10440,1,2,110000
80,81,13000,2,4,193500
81,82,4500,2,2,153500
82,83,10206,2,3,245000
83,84,8892,1,3,126500
84,85,8530,2,3,168500
85,86,16059,2,4,260000
86,87,11911,2,3,174000
87,88,3951,2,2,164500
88,89,8470,1,2,85000
89,90,8070,1,3,123600
90,91,7200,1,2,109900
91,92,8500,1,2,98600
92,93,13360,1,2,163500
93,94,7200,2,4,133900
94,95,9337,2,3,204750
95,96,9765,2,3,185000
96,97,10264,2,3,214000
97,98,10921,1,3,94750
98,99,10625,1,2,83000
99,100,9320,1,3,128950
100,101,10603,2,3,205000
101,102,9206,2,3,178000
102,103,7018,2,4,118964
103,104,10402,2,3,198900
104,105,7758,1,4,169500
105,106,9375,2,3,250000
106,107,10800,1,2,100000
107,108,6000,1,2,115000
108,109,8500,2,3,115000
109,110,11751,2,3,190000
110,111,9525,2,4,136900
111,112,7750,2,3,180000
112,113,9965,2,4,383970
113,114,21000,2,3,217000
114,115,7259,2,3,259500
115,116,3230,2,2,176000
116,117,11616,1,3,139000
117,118,8536,1,2,155000
118,119,12376,3,5,320000
119,120,8461,2,3,163990
120,121,21453,1,1,180000
121,122,6060,1,3,100000
